Name,Cost,Mission/DilemmaType,Text
Predictable Response,0,P,"Unless you have Anthropology and Diplomacy or 2 Security, all your [Cmd] personnel are stopped and this dilemma returns to its owner's dilemma pile."
Curt Reprimand,3,D,"Randomly select three personnel. If the cost of any of those personnel is 1 or less, all three are stopped. Otherwise, randomly select one of those personnel to be stopped."
Show Trial,2,D,"Randomly select a personnel who has Leadership or Medical to be stopped. If you have more points than each of your opponents, randomly select an additional personnel to be stopped."
Bold Plan,0,D,Your opponent may return up to two dilemmas from beneath any of your non-headquarters missions to their owner's dilemma piles.
Let Them Worry,3,D,"Unless you have 3 Honor or Medical, Physics, and Strength>28, randomly select a personnel to be stopped, and if your opponent commands 3 Shape-shifter personnel, all your personnel are stopped."
One to One,2,D,"Randomly select two personnel. If they both are [Cmd] or both are [Stf], they are stopped."
Treachery Running Deep,4,D,"Unless you have 3 Anthropology or Physics, Treachery, and Cunning>28, randomly select a personnel to be stopped, and discard a card from hand for each Praetor personnel and Senator personnel your opponent commands."
All-Consuming Evil,2,P,"Place this dilemma on top of its owner's dilemma pile. When this dilemma is placed beneath a mission by a Consume dilemma, your opponent names a skill. Randomly select a personnel that is attempting that mission with that skill to be killed."
Artificial Wormhole,3,S,"Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Leadership and 2 Officer, or Engineer, Programming, and Cunning>33, or this ship's Commander aboard your opponent may take a ship at a mission and place it at a different mission. That ship's Range for this turn is used."
Best Interests at Heart,3,D,"Randomly select three personnel. If the total cost of those personnel is 4 or less, lose 5 points and your opponent scores 5 points. Otherwise, randomly select one of those personnel to be stopped."
Skeptical Superiors,2,S,"Unless you have 3 Leadership or Astrometrics, Programming, and Cunning>28, randomly select a personnel to be stopped, and randomly select a personnel to be stopped for each Admiral personnel your opponent commands."
The Clown: On His Throne,4,D,"Place this dilemma on this mission. Your opponent names an attribute (Integrity, Cunning, or Strength). Replace attributes in this mission's requirements (and alternate requirements in game text) with the named attribute. At the end of the turn, remove this dilemma from the game."
Klingon Law,2,D,"Unless you have Integrity>40 or Leadership, Programming, and Cunning>28, randomly select a personnel to be stopped, and your opponent may draw a card for each Chancellor personnel and High Council Member personnel he or she commands."
The Seen and the Unseen,4,D,"Unless at least half your personnel are not [NA], stop all your personnel, lose 5 points, and your opponent scores 5 points."
Unionize,3,D,"Unless you have 3 Security or Anthropology, Diplomacy, and Integrity>24, randomly select a personnel to be stopped, and you must destroy any number of events from your core that have a total cost equal to or greater than the number of Dabo Girl personnel and Waiter personnel your opponent commands."
Savagery to Match Their Numbers,3,P,"Unless you have Strength>40 or Officer, Security, and Cunning>28, randomly select a personnel to be stopped, and choose a number of personnel who have a total cost equal to or greater than the number of Alpha personnel your opponent commands to be killed."
Patriotic Spirit,2,P,"Unless you have 3 Officer or Honor, Leadership, and Strength>28, randomly select a personnel to be stopped, and randomly select a personnel to be stopped for each Glinn personnel your opponent commands."
Strategic Superiority,3,S,"Unless you have 3 Diplomacy or Weapons>8, randomly select a personnel to be stopped, and choose a number of personnel who have a total cost equal to or greater than the number of General personnel your opponent commands to be killed."
The Beast at El-Adrel,3,P,"Your personnel cannot gain skills while facing this dilemma. Unless you have 2 Diplomacy and 2 Leadership, or Engineer, Transporters, and Cunning>33 or a Hand Weapon, all your personnel are stopped."
Unwanted Guests,2,D,"Your opponent randomly discards a personnel from his or her hand. Unless you have that personnel's skills, all your personnel are stopped."
Chula: Unfortunate Roll,1,D,"Randomly select three personnel. If their total Integrity is odd, all three are stopped."
In-Fighting,2,D,"Your opponent names a skill. Unless you have three or less of that skill, randomly select a personnel with that skill to be killed."
Time for Action,0,D,"For each headquarters mission your opponent commands, this dilemma is cost +2. Randomly select a personnel. Unless he or she has at least one skill listed in this mission's requirements, stop that personnel, then for each headquarters mission you command, randomly select another personnel to be stopped."
All-Consuming Evil *VP,2,P,"Place this dilemma on top of its owner's dilemma pile. When this dilemma is placed beneath a mission by a Consume dilemma, your opponent names a skill. Randomly select a personnel that is attempting that mission with that skill to be killed."
Causal Recursion,2,S,"Unless you choose to remove five cards in your discard pile from the game or have three missions worth 40 or more points each, place this dilemma in your core. You need an additional 10 points to win the game. When you score points from an event, you may remove this dilemma from the game."
Covert Ambush,3,S,"Unless you have a personnel with 2 Engineer or a personnel with 2 Programming, place this dilemma in your core. When your personnel is about to be placed in an opponent's brig, this dilemma's owner may remove this dilemma from the game to randomly select an additional personnel present to be placed in that opponent's brig."
Full Complement,0,D,"If your personnel have faced another dilemma during this mission attempt, this dilemma is cost +2. Unless you have five or more personnel, randomly select a personnel to return to his or her owner's hand and this dilemma returns to its owner's dilemma pile."
He Wasn't Nice,0,D,This dilemma is cost +5. Your opponent names a personnel. Kill each personnel with that card title.
Miner Revolt,3,P,Randomly select personnel until their total cost is 6 or more. Those personnel are stopped.
Punishment Box,4,P,"Unless you destroy one of your equipment or have Engineer and a personnel with Honor and Leadership, randomly select an Officer to be stopped and place this dilemma in your core. At the start of each of your turns, choose an Officer personnel to be stopped."
Stupefy,0,D,"Place this dilemma in your core. When your opponent's dilemma is revealed, he or she may remove this dilemma from the game to add one level of one skill that is in that dilemma's requirements to that requirement until the end of dilemma."
Unorthodox Tactics,1,S,"Unless you command more ships than your opponent or command an event that has a cost of 4 or more, place this dilemma in your core. When an engagement begins, this dilemma's owner may remove this dilemma from the game to make a ship Weapons +4 and Shields +6 until the end of the turn."
Assassin Team,4,P,"Your opponent chooses a personnel to be stopped. If he or she commands three Assassin personnel, that personnel is killed instead and all of your personnel are stopped."
Echo Papa Attack,3,D,"Your personnel cannot gain skills while facing this dilemma. Unless you have these requirements: [P] - Medical, Officer, and Security; or [S] - Leadership, Navigation, and Programming, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile."
It's Only a Paper Moon,1,D,"Your opponent reveals his or her hand. For each non-ship card revealed this way that has a cost of 4 or more, add 5 to each of this dilemma's attribute requirements. Unless you have Integrity>25 or 2 Programming and Cunning>25 or Strength>25, all your personnel are stopped."
Occupational Hazards,3,D,"Unless you have 2 Acquisition or 2 Treachery, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile."
Slightly Overbooked,6,S,"For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Unless you have three personnel who each have a cost of 4 or more, each of your personnel who has a cost of 2 or less is stopped."
Spatial Interphase,6,D,"For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Your opponent chooses a personnel who has three or less [SD] icons to be killed."
Technique of a Desperate Man,1,D,"Unless you have Anthropology and 2 Officer or two Temporal events in your core, place this dilemma in your core. When one of your personnel begins a mission attempt, this dilemma's owner may remove this dilemma from the game to place a dilemma beneath one of your completed missions on the top of his or her dilemma pile."
Unfair Terms,6,P,"For each mission worth 40 or more points that your opponent commands, this dilemma is cost -2. Randomly select three personnel. Each of those personnel who has a cost of 2 or less is killed."
Well-Prepared Defenses,2,D,"Unless the missions you command are worth more total points than the total points of missions your opponent commands, your opponent chooses a personnel to be stopped."
You Vant to Go Back?,0,D,"This dilemma is cost +3. Reveal the top card of your deck. Unless the cost of that card is odd, your opponent chooses a personnel to be returned to his or her owner's hand."
Hard Time *VP,3,P,"Place this dilemma in your core. Randomly select a personnel and place him or her on this dilemma. At the start of your next turn, remove this dilemma from the game and return the personnel on it to his or her owner's hand."
Miner Revolt *VP,3,P,Randomly select personnel until their total cost is 6 or more. Those personnel are stopped.
Its Thinking is Chaotic,0,D,"Place this dilemma on this mission. Randomly select a personnel. That personnel and each copy of that personnel loses all skills and abilities and gains the following ability: ""When this personnel is an eligible target for a random selection, you may choose this personnel instead."" These effects last until the end of the mission attempt. At the end of this mission attempt, this dilemma is overcome."
Warm Welcome,0,D,"If you have six or more personnel attempting this mission, this dilemma is cost +3. Unless you have 3 [Cmd] personnel or 2 Officer, choose a personnel to be placed on the bottom of his or her owner's deck and this dilemma returns to its owner's dilemma pile."
Lending a Hand,2,P,Your opponent chooses two personnel to be stopped. Choose a personnel from your hand that you do not command who has a cost less than the total cost of those two personnel. You may place that personnel on this planet mission and have him or her join this mission attempt.
Losira,3,D,Your opponent names a personnel. Randomly select three personnel. Each named personnel selected is killed.
Parallel Romance,2,D,"Randomly select two personnel to be stopped. For each personnel stopped by this dilemma, each of your personnel is attributes +1 until the end of this mission attempt."
Polywater Intoxication,0,D,"If you have six or more personnel attempting this mission, this dilemma is cost +3. Choose a personnel to be stopped and this dilemma returns to its owner's dilemma pile."
"The Captain's ""Guest""",2,D,"Your opponent names a keyword. Randomly select three personnel. If any of those personnel has that keyword, they are all stopped. Otherwise, choose one of those personnel to be stopped."
The Charismatic Mister Kor,7,D,"For each dilemma beneath this mission, this dilemma is cost -1. Randomly select a personnel to be placed on the bottom of his or her owner's deck."
The Charming Mister Riker,6,S,"For each dilemma beneath this mission, this dilemma is cost -1. Randomly select a personnel to be placed on the bottom of his or her owner's deck."
The Gentleman Doctor McCoy,6,P,"For each dilemma beneath this mission, this dilemma is cost -1. Randomly select a personnel to be placed on the bottom of his or her owner's deck."
Watch Your Step,0,D,"Unless you have Leadership, Security, and Cunning>34, or Telepathy and 2 Treachery, or 3 Honor, place this dilemma in your core. When you are about to draw a card, this dilemma's owner may remove this dilemma from the game to make you draw three cards instead and he or she examines those cards and chooses two of them to be discarded."
Agonizing Encounter *VP,5,D,"For each headquarters you command, this dilemma is cost -1. Your opponent names a skill. For each of your missions that requires that skill, randomly select a personnel to be stopped."
Stripped Down *VP,1,D,Your opponent moves up to two dilemmas from beneath this mission to another of your non-headquarters missions.
Chula: The Precipice,2,D,"If you have an even number of personnel, randomly split them in half. Unless one half has a personnel with Leadership, a second personnel with Cunning>5, and a third personnel with Honor, randomly select one half to be stopped."
Left Behind,4,S,"Randomly select two personnel. They cannot use their skills while facing this dilemma. Unless you have 2 Biology and 2 Medical or 2 Navigation, Transporters, and Shields>8, those personnel are stopped, and your opponent places them on a planet mission in the same quadrant as this mission."
Repressed Message,0,D,"Reveal the top card of your dilemma pile. Your opponent may remove this dilemma from the game to replace it with the revealed dilemma. When that dilemma is about to be overcome, remove it from the game instead."
Rogue Borg Ship,3,S,"Unless you command three or more ships or ships at this mission with total Weapons>14 or more [Cmd] personnel than [Stf] personnel, your opponent may download a Damage card and place it on one of your ships at this mission, then this dilemma returns to its owner's dilemma pile."
Personal Duty *VP,2,S,"Unless you have Leadership or Officer, all your personnel are stopped. If you have two or more personnel who have Leadership or Officer, randomly select all but one of those personnel to be stopped."
Tactical Disadvantage *VP,2,S,"Reveal your hand and the hand of the opponent on your left. If your opponent reveals ships with more total Weapons than the total Shields of ships that you have revealed in this way, randomly select one of your personnel to be killed and all your personnel are stopped."
"The Caretaker's ""Guests"" *VP",2,D,Your opponent chooses a personnel. You may replace him or her with any one personnel of the same affiliation from your discard pile. Place the personnel your opponent chose on the top of his or her owner's deck.
The Clown: Bitter Medicine *VP,4,D,"Place this dilemma on this mission. Your opponent names a skill. Each of your personnel who has that skill is attributes -2. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Rogue Borg Ship *VP,3,S,"Unless you command three or more ships or ships at this mission with total Weapons>14 or more [Cmd] personnel that [Stf] personnel, your opponent may download a Damage card and place it on one of your ships at this mission, then this dilemma returns to its owner's dilemma pile."
Dark Page,2,D,"Choose a personnel who has Anthropology or Exobiology to be stopped. If you cannot, randomly select a personnel to be killed."
Mark of Gideon (ID),3,D,"Randomly select a personnel to be stopped. If you still have nine personnel remaining, return that personnel to his or her owner's hand, then your opponent chooses a second personnel to return to his or her owner's hand. If you still have ten personnel remaining, your opponent chooses a third personnel to return to his or her owner's hand."
Pillage and Plunder,1,P,"Choose a personnel who has Archaeology or Treachery to be stopped. If you cannot, randomly select a personnel to be killed."
The First Duty,1,S,"Choose a personnel who has Honor or Law to be stopped. If you cannot, randomly select a personnel to be killed."
A Private Little War,4,D,"Randomly select a personnel to be stopped. Unless you have Honor, Medical, Science and Integrity>32 or Engineer, Security, Treachery and Strength>32, randomly select a second personnel to be stopped and your opponent may download an equipment."
In Development,6,D,"For each headquarters mission you command, this dilemma is cost -1. Randomly select a personnel who has a cost of 2 or less. All your other personnel who have a cost of 2 or less are stopped."
Setting the Stage,2,D,Randomly select nine personnel. All your other personnel are stopped and this dilemma returns to its owner's dilemma pile.
The Clown: Go Away,2,D,"Place this dilemma on this mission. At the start of each of your turns, if you command no personnel or ships that you own at this mission, remove this dilemma from the game. When personnel begin a mission attempt at this mission, randomly select a personnel to be returned to their owner's hand."
Inhumane Interrogation,4,D,Randomly select a personnel to be killed. You may destroy an event in your core to prevent this.
Timescape *VP,0,D,"Place this dilemma on this mission. You cannot begin a mission attempt at this mission. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Urgency *VP,0,D,"Place this dilemma on this mission. Each personnel may use no more than one skill during each dilemma he or she faces. Each personnel may use no more than one skill to meet a mission's requirements. At the end of this turn, this dilemma returns to its owner's dilemma pile."
Healing Hand,2,D,"Choose a Medical personnel to be stopped. Unless the personnel stopped by this dilemma has 2 Medical, this dilemma returns to its owner's dilemma pile."
Infinite Diversity,2,D,"Your opponent discards two cards from hand to name a skill (except Acquisition, Intelligence, Law, or Telepathy). Unless you have Anthropology and that skill or Science and that skill, all your personnel are stopped."
Legacy,4,D,"You and your opponent each reveal the top three dilemmas of your dilemma piles. Unless you revealed an equal or greater number of dilemmas that require a skill than your opponent, all of your personnel are stopped."
Forced Into Labor,3,P,"Unless you have Geology, Leadership, and {Trellium-D} or 2 Security and Strength>32, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Code Forty-Seven,2,D,"Choose one or more [Cmd] personnel to be stopped. Unless the total cost of personnel stopped by this dilemma is 4 or more, this dilemma returns to its owner's dilemma pile."
Gravitational Anomaly,3,S,"Unless you have Navigation, Science, and {Trellium-D} or Geology, Physics, and Cunning>32, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Honorable Pursuit,2,D,"Choose an Honor personnel to be stopped. Unless the personnel stopped by this dilemma has 2 Honor, this dilemma returns to its owner's dilemma pile."
Pitching In,4,D,"If you have four or more personnel who have a cost of 2 or less attempting this mission, this dilemma is cost -3. Choose a Leadership or Security personnel to be stopped. Then choose an Engineer or Programming personnel to be stopped."
Unfair Comparison,2,D,"You and your opponent each reveal the top three dilemmas of your dilemma piles. Unless you revealed dilemmas that have an equal or greater total cost than your opponent, randomly select three personnel to be stopped."
Secret Identity *VP,0,D,Your opponent chooses a personnel. You may replace him or her with any one personnel of the same affiliation from your deck. Place the personnel your opponent chose in his or her owner's discard pile. Shuffle and replace your deck.
Formal Hearing *VP,7,D,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have Diplomacy, Intelligence, 2 Programming and Cunning>38 or 2 Honor, Law, and 2 Officer, randomly select three personnel to be stopped."
Overwhelmed *VP,4,D,"Place this dilemma on this mission. When a personnel facing a dilemma at this mission uses his or her skills, he or she is stopped. At the end of this turn, return this dilemma to its owner's dilemma pile."
Coolant Leak,4,D,"Unless you have Engineer or a personnel who has a cost of 4 or more, all your personnel are stopped. If you have two or more personnel who have Engineer or cost 1 or less, randomly select all but one of those personnel to be stopped."
Information Extraction,1,D,"Your personnel cannot gain skills while facing this dilemma. Unless you have Intelligence, Officer, and Programming or Exobiology, Medical, and Treachery, randomly select a personnel to be stopped and if this dilemma's owner chooses to lose 5 points, then add 10 to each attribute requirement of this mission until the end of this mission attempt."
Alien Encounter,3,D,"Unless you have Anthropology, Diplomacy, Exobiology, Leadership, and Integrity>34, or command one or less headquarters missions, choose five personnel to be stopped and this dilemma returns to its owner's dilemma pile."
Broken Link,1,D,"Your personnel cannot gain skills while facing this dilemma. Unless you have Anthropology, Biology, and Law or Diplomacy, Leadership, and Security, randomly select a personnel to be stopped and if this dilemma's owner discards a Capture card or a Punishment card from hand, then that personnel is placed in your opponent's brig instead."
Desperation,2,D,"Unless you have 3 Security or Leadership, Treachery, and Strength>28, randomly select a personnel and choose a personnel to be stopped for each different Bajoran Resistance personnel your opponent commands."
Family,3,D,"Randomly select a personnel to be stopped. Unless you reveal an Honor personnel from your hand or reveal a Treachery personnel from your hand, place that personnel on the bottom of his or her owner's deck instead."
Inequitable Exchange,6,D,"If your opponent has a captive in his or her brig, this dilemma is cost -3. Take a personnel you own from an opponent's brig (he or she joins this mission attempt). Then your opponent chooses a different personnel to be placed in his or her brig."
Just Following Orders,1,D,"Your personnel cannot gain skills while facing this dilemma. Unless you have Astrometrics, Intelligence, and Treachery or Geology, Honor, and Navigation, randomly select a personnel to be stopped and if this dilemma's owner discards an event from hand, then he or she may destroy an event."
One Step Ahead,0,S,"Unless you have 2 Programming and 2 Transporters or two Hand Weapons, all your personnel are stopped. When you meet the requirements of this dilemma, you may stop a Security personnel to score 5 points."
The Launching,0,P,"Unless you have 2 Astrometrics and 2 Physics or two non-Hand Weapon equipment, all your personnel are stopped. When you meet the requirements of this dilemma, you may stop an Engineer personnel to score 5 points."
Trilithium Heist,1,D,"Your personnel cannot gain skills while facing this dilemma. Unless you have Acquisition, Engineer, and Transporters or Medical, Physics, and Science, randomly select a personnel to be stopped and if this dilemma's owner discards a Crime card from hand, then he or she scores 5 points."
Gomtuu Shock Wave *VP,3,S,"Unless you have 2 Diplomacy and Integrity>32 or Telepathy and Integrity>35, all your personnel are stopped and this dilemma is placed on your ship. Damage - This ship is attributes -2."
Where No One Has Gone Before *VP,4,S,"Unless you have Astrometrics, Navigation, Physics, and Cunning>34 or Exobiology, Leadership, Medical, and Integrity>32, place this dilemma in your core and place your ship on this dilemma. At the end of your next turn, remove this dilemma from the game and place the ship at your headquarters mission."
Arrogance,1,S,"Reveal the top card of your deck. Unless it has a cost of 4 or more, randomly select a personnel to be stopped."
Breached,3,S,"Unless you have Navigation, Security, Transporters, and Strength>30 or 2 Physics, Treachery, and Cunning>30, all your personnel are stopped and this dilemma is placed on your ship. Damage - Opponents' personnel may beam between this ship and his or her ship at this mission."
Duty Schedule,2,S,Your opponent chooses a number of personnel equal to the number of staffing requirement icons on this ship. Choose one of those personnel to be stopped.
Galileo Grounded,2,P,"Unless you have Medical, Security, and Transporters or a staffed ship at this mission, all your personnel are stopped."
Greater Needs,3,P,"Unless you have Anthropology, Diplomacy, Exobiology, and Integrity>30 or Leadership, Transporters, Treachery, and Strength>30, all your personnel are stopped and this dilemma is placed on your ship at this mission. Damage - Your personnel cannot begin a mission attempt at this mission."
Insurrection,0,D,"This dilemma is cost +1. Place this dilemma on this mission (limit one per mission). If this mission is worth 30 or more points, add 10 to each printed attribute requirement<32 needed to complete this mission. When this mission is completed, place this dilemma beneath your incomplete non-headquarters mission."
Programmed Compulsion,2,S,"Unless you have 2 Navigation and Programming or Engineer and Cunning>40, your opponent may place this dilemma on one of your missions. All your personnel are attributes -1. At the end of each of your turns, if you have a staffed ship at this mission, you may remove this dilemma from the game."
Rude Awakening,2,S,"Choose the corresponding Commander of this ship or a personnel who has [Cmd] and Officer to be stopped. If you cannot, all your personnel are stopped."
Rush Job,3,S,"Choose a personnel to be stopped. Unless this ship has four or more staffing requirement icons, choose a personnel to be stopped. Unless this ship has a [Cmd] icon in its staffing requirements, your opponent chooses a personnel to be stopped."
Sudden Stealth,2,S,"Unless you have Engineer, Officer, and Programming or a Cloaking Device ship at this mission, all your personnel are stopped."
The Oracle's Punishment,5,D,"Your opponent chooses two personnel to be stopped. When this dilemma is overcome, if it was prevented, your opponent may choose one of your personnel involved in the mission attempt to be killed."
Infatuation,2,D,"Randomly select a Security personnel to be stopped. If you still have nine personnel remaining, randomly select a Medical personnel to be stopped. If you still have ten personnel remaining, randomly select an Officer personnel to be stopped."
Last Stand,0,D,This dilemma is cost +3 for each headquarters mission your opponent commands. Your opponent may discard a Nucleogenic card from hand to make the next dilemma revealed during this mission attempt cost -3.
Optical Delusion,4,D,"Unless you have Programming, 2 Security, and Transporters or a Hologram and Cunning>30, all your personnel are stopped and this dilemma is placed in your core. At the start of each of your opponent's Play and Draw Cards segments, he or she may download {Under Siege} and play it at cost -2."
The Big Goodbye,2,S,"Randomly select a personnel to be stopped. Unless you have Diplomacy, Engineer, and Medical or Anthropology, Leadership, and Strength>30, that personnel is killed and all your personnel are stopped."
The Next Phase,3,D,"Your opponent chooses one of his or her personnel that has been removed from the game. Unless you have the skills on that personnel or one of your personnel has total attributes>that personnel's total attributes, all your personnel are stopped."
Back to Basics *VP,4,D,"Your opponent counts each personnel and ship card in his or her discard pile and shuffles each of those cards into his or her deck. If fourteen or more cards were shuffled into his or her deck this way, all your personnel are stopped."
Swashbuckler at Heart *VP,2,D,Reveal your hand and place each interrupt revealed this way on top of your deck in any order. Your opponent draws up to two cards.
The Dreamer and the Dream *VP,2,D,"Place this dilemma on this mission. At the end of this turn, this dilemma is overcome. If at that time this mission has not been completed, its owner discards his or her hand."
An Issue of Trust *VP,4,D,"Unless you have Honor or Treachery, all your personnel are stopped. If you have two or more personnel who have Honor or Treachery, randomly select all but one of those personnel to be stopped."
Brothers,2,S,"When your opponent reveals this dilemma, he or she may discard a personnel from hand to add 5 to each of this dilemma's attributes requirements (or add 10 if that personnel was an Android). Unless you have Engineer and Integrity>30 or Transporters and Cunning>30, all your personnel are stopped."
Conflict of Interests,4,D,"Unless you have 3 Archaeology or Integrity>36, all your personnel are stopped. If four or more personnel of the same species are stopped by this dilemma, this dilemma's owner may discard a random card from hand to return this dilemma to his or her dilemma pile."
Eugenic Transformation,3,P,"Unless you have 3 Exobiology or Cunning>36, all your personnel are stopped. If four or more personnel of the same species are stopped by this dilemma, this dilemma's owner may discard a random card from hand to return this dilemma to his or her dilemma pile."
Intimidation,4,D,Randomly select a personnel. Repeat this until you select a personnel of a different species than the first personnel that you selected. Stop each selected personnel.
Malfunctioning Door,3,S,"Unless you have 3 Transporters or Strength>36, all your personnel are stopped. If four or more personnel of the same species are stopped by this dilemma, this dilemma's owner may discard a random card from hand to return this dilemma to his or her dilemma pile."
Manufactured Triumph,0,D,"Your opponent discards any number of personnel of different species from hand. Unless you have that number of personnel of different species, all your personnel are stopped."
Oh No!,4,D,"If you have Cunning>55, lose 5 points. Also, unless you have 2 Astrometrics or Integrity>30 or Strength>30, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Ominous Presence,4,D,"If you have five or more personnel of the same species attempting this mission, this dilemma is cost -2. Randomly select a personnel with Diplomacy or Security. Then choose a different personnel of the same species. Those personnel are stopped."
Shadowplay,2,P,"When your opponent reveals this dilemma, he or she may discard a personnel from hand to add 5 to each of this dilemma's attributes requirements (or add 10 if that personnel was an Hologram). Unless you have Programming and Cunning>30 or Treachery and Strength>30, all your personnel are stopped."
Manufactured Triumph *VP,0,D,"Your opponent discards any number of personnel of different species from hand. Unless you have that number of personnel of different species, all your personnel are stopped."
Dignitaries and Witnesses *VP,4,D,"Unless you have an Admiral or a General or 3 Leadership, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Necessary Execution *VP,5,P,"Your opponent chooses a personnel to be killed. If you do not command a completed space mission, he or she chooses an additional personnel to be killed."
Ardent Predator,2,S,"Randomly select two personnel. Unless those personnel have Exobiology and Cunning>11 or Strength>13, those personnel are killed."
Satarran Gambit,4,D,"Unless you have Intelligence and Cunning > 32 or 2 Biology and Programming, your opponent may place an Infiltrator from hand aboard a ship at this mission (your opponent now commands that personnel) and all your personnel are stopped."
Shared Hallucination,0,D,"When this dilemma is revealed, you may discard any number of cards from your hand. Choose a personnel to be stopped for each card in your hand."
Back Room Dealings *VP,2,D,"Choose a personnel who has Treachery or Integrity<4 to be stopped. If you cannot, randomly select a personnel to be killed."
Adversarial Trial,2,S,"Randomly select a personnel who has Anthropology or Programming to be stopped. If you have more points than each of your opponents, randomly select a personnel to be returned to his or her owner's hand."
Ingenious Jury-rig,3,D,"Choose a personnel who has Transporters to be stopped, then place this dilemma in your core. Non-Persistent dilemmas may not be returned to your dilemma pile from beneath your opponent's incomplete missions."
Overburdened,3,D,"Reveal the top three cards of your dilemma pile. For each dilemma you reveal that costs 1 or more and does not require a skill, randomly select a personnel to be killed. Then place the revealed cards on the bottom of your dilemma pile in any order."
Pivotal Destiny,2,P,"Place this dilemma in your core. You need an additional 10 points to win the game. When you command three completed missions, remove this dilemma from the game."
Standing Trial,2,P,"Randomly select a personnel who has Honor or Transporters to be stopped. If you have more points than each of your opponents, randomly select a personnel to be returned to his or her owner's hand."
Workforce,1,D,"Unless you have Physics, all your personnel are stopped. Otherwise, place this dilemma on this mission. While you command a stopped personnel at this mission, your personnel cannot begin a mission attempt here. At the end of this turn, this dilemma is overcome."
The Clown: Guillotine *VP,2,D,"Your opponent names a skill. Randomly select a personnel with that skill. Unless that personnel has an attribute>6, randomly select a second personnel with that skill. Each selected personnel is killed and this dilemma returns to its owner's dilemma pile."
Tsiolkovsky Infection *VP,8,S,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Anthropology, 2 Programming, and Cunning>38 or 2 Biology, Exobiology, and 2 Medical, randomly select three personnel to be killed."
Whisper in the Dark *VP,8,P,"For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Geology, 2 Physics, and Cunning>38 or 2 Honor, 2 Officer, and Transporters, randomly select three personnel to be killed."
Adopted Authority,3,D,"Randomly select a personnel. Unless that personnel has an attribute<5, he or she and a second randomly selected personnel are stopped and this dilemma returns to its owner's dilemma pile. Otherwise, he or she is stopped."
Artificial Ability,2,D,"Your opponent names an attribute (Integrity, Cunning, or Strength). Each personnel with that attribute>7 is stopped."
Cadet Review,3,S,"Each personnel may use no more than one skill while facing this dilemma. Unless you have Engineer, Medical, Science, and Security or Diplomacy, Officer, Programming, and Transporters, your opponent chooses two [Stf] personnel to be stopped."
Challenging Revision,2,D,"Your opponent names a card type. Each player reveals his or her hand, places all revealed cards of that type under his or her deck, and draws an equal number of cards. When this dilemma is overcome, if it was prevented, your opponent may choose one of your personnel involved in the mission attempt to be killed."
Identity Theft,4,D,"Your opponent names a card. If you have one copy of that card in your discard pile, choose a personnel to be stopped. If you have a second copy of that card in your discard pile, randomly select a personnel to be killed. If you have a third copy of that card in your discard pile, all your personnel are stopped."
Incorporeal Parasite,4,D,"Your opponent names a number. If you have 4 or more personnel who have a cost equal to that number, choose one: randomly select two of those personnel to be killed; or all of those personnel are stopped. Otherwise, randomly select a personnel with a cost equal to that number to be stopped."
Inquest,3,S,Randomly select personnel until their total number of [SD] icons is 8 or more. Those personnel are stopped.
Soul Searching,3,S,"Place this dilemma in your core. Randomly select a personnel and place him or her on this dilemma. At the start of your turn, you may place the personnel on this dilemma at your headquarters mission and place this dilemma under your non-headquarters mission. If you do, the dilemma's owner scores 5 points."
Staffing Shortage,3,S,"Randomly select a personnel. Unless that personnel has 2 levels of a skill, that personnel is killed. Otherwise, he or she is stopped."
Stone-cold Bluff,0,D,"Choose up to two personnel to be stopped. If no personnel were stopped by this dilemma, this dilemma returns to its owner's dilemma pile. If two personnel were stopped by this dilemma, return the next dilemma in the dilemma stack to its owner's dilemma pile."
Terminal Resignation,5,P,"Choose a Commander that corresponds with your ship that is at this mission to be killed. If no personnel were killed by this dilemma, your opponent chooses two personnel to be stopped."
The Needs of the Few,2,S,"Your opponent chooses an Engineer or Security personnel to be stopped. If you command a completed planet mission, that personnel is killed."
The Needs of the Many,4,D,"Randomly select a personnel who has [Cmd] or Science to be killed. Then, reveal your hand and choose a personnel to be stopped for each interrupt revealed."
Tormented Dreams,2,D,"For each of your other missions where you command unstopped personnel, your opponent chooses a personnel to be stopped. If no personnel were stopped by this dilemma, return it to its owner's dilemma pile."
Upstaged,3,D,"Choose two personnel. While facing the next dilemma revealed during this mission attempt, those personnel cannot be selected and cannot use their abilities, attributes, or skills."
War Games,4,D,"Your opponent chooses one of his or her completed missions. Unless you have the skills needed to complete that mission, all your personnel are stopped."
