Name,Unique,Type,Cost,Mission/DilemmaType,Span,Points,Quadrant,Affiliation,Icons,Staff,Keywords,Class,Species,Skills,Integrity/Range,Cunning/Weapons,Strength/Shields,Text
U.S.S. Yangtzee Kiang Modified Transport *A,Y,Ship,3,,,,,Federation,[DS9],[Stf],,Danube Class,,,3,3,3,"While you command eight or more personnel aboard this ship, it is Range -3. When this ship is about to move between your headquarters mission and a non-headquarters mission, subtract 1 from the Range required. Order - Discard two events from hand to make this ship Range +2 until the end of this turn."
Quark's Treasure Sabotaged Shuttle *A,Y,Ship,5,,,,,Ferengi,,[Stf][Stf],,Na'Far Class,,,7,5,6,"Order - If this ship has its Commander aboard it, lose 5 points to take an additional turn after this one. At the end of that turn, you lose the game."
Columbia The Second Warp Five Ship *A,Y,Ship,4,,,,,Starfleet,[Pa],[Cmd],,NX Class,,,6,5,5,"While the first mission you completed this game was a space mission, this ship is attributes +1. While a personnel aboard this ship is facing a dilemma, you may discard a card from hand to have that personnel gain Astrometrics or Science until the end of the mission attempt."
No Kill I *A,N,Dilemma,2,P,,,,,,,Consume: 3.,,,,,,,All your personnel are stopped.
Psychokinetic Control *A,N,Dilemma,0,D,,,,,,,,,,,,,,"Place this dilemma on this mission. Each personnel at this mission loses each skill he or she has gained. Each personnel cannot gain skills. Each personnel cannot increase his or her attributes. At the end of this mission attempt, this dilemma is overcome."
Swashbuckler at Heart *A,N,Dilemma,2,D,,,,,,,,,,,,,,Reveal your hand and place each interrupt revealed this way on top of your deck in any order. Your opponent draws up to two cards.
Vian Test *A,N,Dilemma,5,P,,,,,,,,,,,,,,"Choose a personnel to place in your opponent's brig. If that personnel is non-unique, your opponent draws up to three cards."
James T. Kirk Highly-Decorated Captain *A,Y,Personnel,2,,,,,Federation,[Cmd][TOS][Pa],,Commander: U.S.S. Enterprise.,,Human,Diplomacy Honor Leadership Officer,7,6,6,"You may play this personnel at cost +3 to download two cards. Those cards must be [TOS], Assault, Maneuver, Pursuit, or Temporal cards."
Leonard H. McCoy Chief Medical Officer *A,Y,Personnel,2,,,,,Federation,[Stf][TOS][Pa],,,,Human,Biology Exobiology Honor Medical,7,6,5,You may play this personnel at cost +3 to take two dilemmas you own from beneath an opponent's mission and return them to your dilemma pile.
Seven of Nine Efficient Analyst *A,Y,Personnel,2,,,,,Federation,[Stf][Voy],,,,Borg,Astrometrics Engineer Programming Science,5,7,6,Order - Examine the top two cards of your deck. Replace those cards in any order. Order - Exchange a card in hand with the top card of your deck.
Spock Science Officer *A,Y,Personnel,3,,,,,Federation,[Cmd][TOS][Pa],,,,Human/Vulcan,Astrometrics Engineer Programming 2 Science,6,8,7,You may play this personnel at cost +2 to examine the top four dilemmas of an opponent's dilemma pile and remove one from the game. Replace the remaining cards in the same order.
Kang Vigilant Commander *A,Y,Personnel,4,,,,,Klingon,[Cmd][Pa],,,,Klingon,Honor Leadership Officer Physics Security,6,6,8,"When you play this personnel, if you command two [Pa] Klingons, this personnel is cost -2. While facing a dilemma, each of your Klingons present is Integrity +2."
Koloth Ingratiating Captain *A,Y,Personnel,4,,,,,Klingon,[Cmd][Pa],,,,Klingon,Diplomacy Exobiology Honor Medical Officer,7,6,8,"When you play this personnel, if you command two [Pa] Klingons, this personnel is cost -2. While facing a dilemma, each of your Klingons present is Cunning +2."
Kor Courageous Governor *A,Y,Personnel,4,,,,,Klingon,[Cmd][Pa],,,,Klingon,Anthropology Honor Law Leadership Officer,6,6,8,"When you play this personnel, if you command two [Pa] Klingons, this personnel is cost -2. While facing a dilemma, each of your Klingons present is Strength +1."
Dukat Pah-Wraith Puppet *A,Y,Personnel,2,,,,,Bajoran,[Cmd],,,,Cardassian,Transporters 2 Treachery,2,6,6,"While you have no cards in your discard pile, this personnel is Cunning +4, Strength +4, and cannot be killed by dilemmas. Order - Examine and remove two cards in a player's discard pile from the game. You may do this only once each turn."
Khan Noonien Singh Bold Man *A,Y,Personnel,3,,,,,Non-Aligned,[Cmd][Pa],,Genetically Enhanced.,,Human,Engineer Programming 2 Treachery,2,8,8,This personnel is the corresponding Commander of your unique ship that he is aboard.
Charvanek Neutral Zone Commander *A,Y,Personnel,3,,,,,Romulan,[Cmd][Pa],,,,Romulan,Diplomacy Leadership Officer Science,5,6,5,"When you play this personnel, reveal an opponent's hand. For each personnel revealed, this personnel is cost -1. When this personnel is an eligible target for a random selection, you may choose one: exclude her from that selection; or exclude a [Pa][Rom] personnel present from that selection."
Keras Creature of Duty *A,Y,Personnel,2,,,,,Romulan,[Cmd][Pa],,Commander: Gal Gath'thong.,,Romulan,Anthropology Honor Leadership Security,6,6,6,"At the start of each of your turns, you may choose an opponent and name a card. That opponent searches his or her deck, places the named card in his or her hand, and shuffles his or her deck."
Delta Flyer Innovative Vessel *A,Y,Ship,4,,,,,Federation,[Voy],[Stf][Stf],,Delta Flyer Class,,,10,7,7,"While you do not command a headquarters mission, you may play this ship at the same mission as your {U.S.S. Voyager}. Personnel aboard this ship cannot attempt missions."
U.S.S. Enterprise Beautiful Lady *A,Y,Ship,3,,,,,Federation,[TOS][Pa],[Cmd][Stf],,Constitution Class,,,8,6,6,"To play this ship, you must command four [TOS] personnel. You may play this ship at cost +4 to score 5 points."
Gal Gath'thong Pride of the Praetor *A,Y,Ship,4,,,,,Romulan,[Pa],[Cmd][Cmd],Cloaking Device.,Bird-of-Prey Class,,,7,6,6,"To play this ship, you must command two [Pa][Rom] personnel. When you move this ship from an opponent's mission, if this ship's Commander is aboard, that opponent must discard two cards from hand (limit two cards per turn)."
Chula: The Dice *A,N,Dilemma,3,D,,,,,,,,,,,,,,"Unless you have a personnel with Integrity>6, a second personnel with Cunning>6, and a third personnel with Strength>6, all your personnel are stopped."
Paranoid Escape *A,N,Dilemma,4,P,,,,,,,,,,,,,,"Place this dilemma on this mission. Randomly select a personnel to be removed from the game. You cannot play cards that have the same title as that personnel. When you complete this mission, put the personnel removed from the game in his or her owner's hand and this dilemma is overcome."
The Dal'Rok *A,N,Dilemma,3,D,,,,,,,,,,,,,,"Unless your personnel have a total cost>17, for each headquarters mission you command, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile."
Temporal Flux Energy Ribbon *A,Y,Event,3,,,,,,,,Temporal.,,,,,,,"Plays on a mission. At the start of each player's turn, that player removes a personnel he or she commands at this mission from the game and moves this event to a different mission. When this event is placed on a headquarters mission, remove it from the game."
Elim Garak Crafty Underling *A,Y,Personnel,4,,,,,Cardassian,[Cmd][AU],,,,Cardassian,Anthropology Law 2 Security 2 Treachery,2,6,6,"When you play this personnel, if you command a Treachery personnel, he is cost -1. When this personnel is facing a dilemma, you may discard an [AU] card from hand to make him gain a skill of your choice until the end of that mission attempt."
Gor Thot *A,Y,Personnel,4,,,,,Dominion,[Cmd],,General.,,Breen,Archaeology Geology Law Leadership Officer,4,7,7,"When you play this personnel, name 1, 2 or 3. Until the start of your next turn, each player cannot play cards that have a cost equal to the named number."
Pran Thot *A,Y,Personnel,4,,,,,Dominion,[Cmd],,Commander: Tykk. General.,,Breen,Engineer Leadership Medical Navigation Officer Physics,6,7,7,"When you play this personnel, each player discards any number of cards from hand that have a total cost of 4 or more. If a player cannot, he or she discards his or her entire hand."
James T. Kirk Brutal Barbarian *A,Y,Personnel,2,,,,,Federation,[Cmd][TOS][Pa][AU],,,,Human,Law 2 Leadership Officer 2 Treachery,2,6,6,"While you command an [AU] personnel, you may play this personnel at cost +2 to have him gain any skill of your choice and make each of your [AU] personnel attributes +1 until the end of this turn."
Spock Man of Integrity *A,Y,Personnel,3,,,,,Federation,[Cmd][TOS][Pa][AU],,,,Human/Vulcan,Engineer Honor Programming Science Transporters,6,8,7,"While you command an [AU] personnel, you may play this personnel at cost +2 to make each player place a personnel from hand on a headquarters mission where that personnel could be played."
Worf Defiant Commander *A,Y,Personnel,4,,,,,Federation,[Cmd][DS9],,Commander: U.S.S. Defiant.,,Klingon,Diplomacy 2 Honor Leadership Officer,8,5,8,Each of your personnel present who has a cost of 4 or more is attributes +1.
Slar Gorn Slave Master *A,Y,Personnel,3,,,,,Non-Aligned,[Cmd][Pa][AU],,,,Gorn,2 Engineer Physics Programming Security Treachery,2,3,3,This personnel is Cunning +1 and Strength +1 for each [AU] personnel present.
Jonathan Archer Covetous Commander *A,Y,Personnel,4,,,,,Starfleet,[Cmd][Pa][AU],,Commander: I.S.S. Enterprise.,,Human,Astrometrics Leadership Navigation Officer Security 2 Treachery,2,6,6,"When this personnel uses a skill to complete a mission, if you have no cards in hand, score 5 points. You may do this only once each turn. Order - Discard a card from hand to download {Watch Dog}."
T'Pol Not a Slave *A,Y,Personnel,4,,,,,Starfleet,[Cmd][Pa][AU],,,,Vulcan,Anthropology Astrometrics Engineer Leadership Officer Programming Science,4,7,6,"When you play this personnel, if you command an Officer personnel, this personnel is cost -1. While you have no cards in hand, this personnel is attributes +1."
Tykk *A,Y,Ship,6,,,,,Dominion,,[Cmd][Stf][Stf],,Breen Warship Class,,,8,9,9,"You may play Breen personnel aboard this ship. When a Breen personnel aboard this ship is involved in an engagement you win, you may place a [Dom] personnel with a cost of 4 or more from hand aboard this ship."
U.S.S. Lakota Modified Starship *A,Y,Ship,5,,,,,Federation,[E],[Stf][Stf][Stf],,Excelsior Class,,,8,7,7,This ship is attributes +2 for each corresponding Commander aboard it.
Defiant Mirror Warship *A,Y,Ship,7,,,,,Non-Aligned,[AU],[Cmd][Cmd][Cmd][Stf],,Defiant Class,,,8,10,10,"To play this ship, you must command three [AU] personnel. When you play this ship, you may discard any number of cards from hand. This ship is cost -1 for each card discarded this way."
Phoenix Risen From the Ashes *A,Y,Ship,3,,,,,Non-Aligned,[Pa],[Stf],,Phoenix Class,,,0,0,0,"While this ship is at a non-headquarters mission and does not have a Damage marker on it, each of your opponents needs an additional 10 points to win the game."
I.S.S. Enterprise Terran Flagship *A,Y,Ship,4,,,,,Starfleet,[Pa][AU],[Cmd],Cloaking Device.,NX Class,,,6,5,5,"To play this ship, you must command three [AU] personnel. You do not need to spend all your counters on your turns. While you have no cards in your hand, this ship is Range +2."
The Clown: Guillotine *A,N,Dilemma,2,D,,,,,,,Consume: 3.,,,,,,,"Your opponent names a skill. Randomly select a personnel with that skill. Unless that personnel has an attribute>6, randomly select a second personnel with that skill. Each selected personnel is killed and this dilemma returns to its owner's dilemma pile."
Clarity *A,Y,Event,2,,,,,,,,Morph. Shape-shifter.,,,,,,,"To play this event, you must command two Founders. Plays in your core. When your Consume dilemma places any number of dilemmas beneath an opponent's mission, you may destroy this event to choose one of those dilemmas and return it to your dilemma pile."
Ghost Stories *A,Y,Event,2,,,,,,,,,,,,,,,"Plays in your core. When you play this event, name a non-dual dilemma. Your copies of that dilemma have: Persistent. (When your personnel complete this mission, this dilemma's owner may discard a non-personnel card from hand to return this dilemma to his or her dilemma pile.)"
U.S.S. Enterprise-J *A,Y,Event,1,,,,,,,,,,,,,,,Plays in your core. Each of your personnel at a mission that is worth 40 or more points is attributes +1.
Data Tempted by Flesh *A,Y,Personnel,3,,,,,Borg,[Cmd],,,,Android/Borg,Astrometrics 2 Engineer Exobiology 2 Programming Science Treachery,3,10,10,"At the start of each of your turns, you may return this personnel to your hand. If you do not, remove this personnel from the game."
Odo The Great Link's Savior *A,Y,Personnel,5,,,,,Dominion,[Cmd],,,,Changeling,Anthropology Exobiology Honor Law Leadership Programming 2 Security,7,7,8,"When this personnel is about to be killed or stopped by a dilemma, you may have each opponent score 5 points to prevent that."
Data Lucasian Chair *A,Y,Personnel,5,,,,,Federation,[Stf][TNG][Fut],,,,Android,2 Astrometrics Engineer Exobiology Physics Programming 2 Science,6,10,10,"When you play this personnel, if you have completed a mission requiring Diplomacy or Leadership, he is cost -4."
Borg Queen's Vessel Borg Flagship *A,Y,Ship,6,,,,,Borg,,[Stf][Stf][Stf][Stf],,Diamond,,,10,10,10,Order - Examine a number of cards from the top of your deck equal to the number of Persistent dilemmas you own beneath an opponent's missions. Set any number of those cards aside face down. Shuffle the remaining cards into your deck and place those cards on top of your deck in any order. You may do this only once each turn.
I.K.S. Qel'Poh H.M.S. Bounty *A,Y,Ship,3,,,,,Federation,[TOS][Pa][E],[Stf][Stf][Stf],Cloaking Device.,B'rel Class,,,6,7,6,"While you command two missions that are worth 40 points or more, this ship is Range +2. While a personnel you command aboard this ship is facing a dilemma, you may discard a [Pa] personnel from hand to make that personnel attributes +1 until the end of that dilemma."
U.S.S. Pasteur Medical Ship *A,Y,Ship,6,,,,,Federation,[TNG][Fut],[Cmd][Cmd][Stf][Stf],,Hope Class,,,7,7,8,"While your [Fed] Medical personnel is aboard this ship, it is Range +5. While your [Fut] personnel aboard is attempting a space mission, you may destroy your Decay event to make that personnel gain a skill required by that mission until the end of this turn."
U.S.S. Prometheus Experimental Prototype *A,Y,Ship,7,,,,,Federation,[E],[Cmd][Cmd][Cmd],,Prometheus Class,,,9,10,9,"To play this ship, you must discard a personnel who costs 4 or more from hand. When you win an engagement involving this ship, you may discard a Decay event from hand to download a Damage card and place it on an opponent's ship at this mission."
U.S.S. Reliant Searching for Lifeless Planets *A,Y,Ship,4,,,,,Federation,[TOS][Pa],[Cmd][Stf],,Miranda Class,,,7,6,6,"While you command a [TOS] personnel, you may play this ship at your {Earth}. When you complete this mission, you may destroy an event. (If that event is your event, you may download an event with a cost of 4 or more.)"
I.K.S. Kla'Diyus Prototype *A,Y,Ship,3,,,,,Klingon,[Pa],[Stf][Stf][Stf],Cloaking Device.,B'rel Class,,,6,7,6,"When you take this ship off of {Engage Cloak}, it is Weapons +3 until the end of the turn and you may begin an engagement involving your personnel aboard. If you win, name a personnel. Each opponent's copy of that personnel involved in that engagement is killed."
I.K.S. Qel'Poh Clandestine Vessel *A,Y,Ship,3,,,,,Klingon,[Pa],[Stf][Stf][Stf],Cloaking Device.,B'rel Class,,,6,7,6,"While you command two missions that are worth 40 points or more, this ship is Range +2. While you have a captive, this ship is attributes +2."
Kronos One *A,Y,Ship,4,,,,,Klingon,[Pa],[Cmd][Stf],Cloaking Device.,K't'inga Class,,,7,7,7,"Order - If your corresponding Commander is aboard this ship, search your dilemma pile and remove a Persistent dilemma from the game to make this ship attributes +2 until the end of the turn. Then shuffle and replace your dilemma pile. You may do this only once each turn."
Devna-Lev Harrad-Sar's Barge *A,Y,Ship,6,,,,,Non-Aligned,[Pa],[Stf][Stf][Stf],,Maraar Class,,,6,6,6,"While three of your [NA] personnel are aboard this ship, it is Range +2 and when you reveal a Persistent dilemma from your dilemma stack, it is cost -1."
Scimitar Built for Only One Purpose *A,Y,Ship,7,,,,,Romulan,,[Cmd][Cmd][Cmd][Stf][Stf],Cloaking Device.,Scimitar Class,,,9,10,10,"When you take this ship off of {Engage Cloak}, you may begin an engagement involving your personnel aboard this ship. If you win, name a personnel. Each opponent's copy of that personnel involved in that engagement is killed. Then unstop this ship and all personnel aboard this ship. You cannot begin any other engagements this turn. Also, this ship is Range +9 until the end of this turn."
U.S.S. Prometheus Stolen Prototype *A,Y,Ship,7,,,,,Romulan,,[Cmd][Cmd][Cmd][Stf],,Prometheus Class,,,9,10,9,"To play this ship, you must discard a personnel who costs 4 or more from hand. When you win an engagement involving this ship, you may discard a personnel who has a cost of 4 or more from hand to download a Damage card and place it on an opponent's ship at this mission."
Benjamin Sisko Shipwright *,Y,Personnel,4,,,,,Bajoran,[Cmd][DS9],,Commander: Baraka.,,Human,Anthropology Astrometrics Engineer Honor Navigation,7,6,6,"While this personnel is aboard a [Baj] ship, it is Range +1."
Borg Queen Perfectionist *,Y,Personnel,3,,,,,Borg,[Cmd],,Commander: Queen's Borg Cube.,,Borg,3 Leadership Treachery,3,8,6,"While this personnel is facing a dilemma, each personnel you command but do not own cannot be stopped."
Dukat True Cardassian *,Y,Personnel,3,,,,,Cardassian,[Cmd],,Commander: Naprem.,,Cardassian,Leadership Navigation Officer Programming Security,4,6,6,"When an engagement involving this personnel ends, the ship he is aboard and each of your [Car] personnel aboard it are not stopped. You cannot begin any other engagements this turn."
Kudak'Etan Arrogant First *,Y,Personnel,3,,,,,Dominion,[Cmd],,Alpha. Commander: U.S.S. Defiant.,,Jem'Hadar,Astrometrics Leadership Navigation Officer,5,5,8,Order - Discard a Vorta from hand to place this personnel and any number of your Jem'Hadar present aboard a ship at the same mission.
Data Commanding Officer *,Y,Personnel,5,,,,,Federation,[Cmd][E],,Commander: U.S.S. Sutherland.,,Android,Engineer Leadership Officer Physics Programming,6,10,10,"Order - Discard a card from hand to name a card. When an opponent plays that card, score 5 points. This effect lasts until the start of your next turn. You may do this only once each turn."
Jean-Luc Picard Starship Captain *,Y,Personnel,3,,,,,Federation,[Cmd][TNG],,Commander: U.S.S. Enterprise-D.,,Human,Diplomacy Honor Law Leadership Navigation Officer,8,6,6,"Order - This personnel loses Diplomacy, Law, and Navigation and gains Anthropology, Archaeology, and Science until the end of this turn. You may do this only once each turn."
Gowron Sole Leader of the Empire *,Y,Personnel,3,,,,,Klingon,[Cmd],,Chancellor. Commander: I.K.S. Bortas.,,Klingon,Honor Law 2 Leadership Security,6,5,8,"When your Honor Klingon is about to be stopped or killed by a dilemma, you may discard a Treachery Klingon from hand to prevent that. You may do this only once each turn."
Arctus Baran Treasure Seeker *,Y,Personnel,2,,,,,Non-Aligned,[Cmd],,Commander: Fortune. Smuggler. Thief.,,Alien,Archaeology Officer Security Treachery,2,5,6,"When this personnel uses a skill to complete a mission, you may download an Artifact card and place it in your core (if it is an event) or present with this personnel (if it is an equipment)."
Velal Reluctant Aggressor *,Y,Personnel,2,,,,,Romulan,[Cmd],,Commander: Rovaran. General.,,Romulan,Archaeology Leadership Officer Security,5,6,6,"When the player on your right attempts this mission, if you command a Maneuver event, you may draw an extra dilemma and spend one extra in total cost on dilemmas."
Baraka *,Y,Ship,2,,,,,Bajoran,[DS9],[Stf],,Shabren Class,,,3,0,3,Order - Lose 5 points to make this ship Range +10 until the end of this turn.
Queen's Borg Cube *,Y,Ship,7,,,,,Borg,,[Stf][Stf][Stf][Stf][Stf],,Cube,,,10,12,11,You may use a card which begins an engagement to begin one involving this ship even if it is at a headquarters mission.
Naprem *,Y,Ship,5,,,,,Cardassian,,[Stf][Stf][Stf],Cloaking Device.,K'Vort Class,,,7,8,7,"While this ship is at an opponent's planet mission, if your personnel is on that planet, he or she is an Infiltrator."
U.S.S. Defiant Commandeered Warship *,Y,Ship,7,,,,,Dominion,,[Cmd][Cmd][Stf],Cloaking Device.,Defiant Class,,,8,10,10,"To staff this ship, you must have an [Dom] Engineer personnel aboard. Order - If this ship is staffed and at your mission, stop this ship to take an overcome dilemma from beneath that mission and place it face up beneath your [AQ] mission."
U.S.S. Enterprise-D Explorer *,Y,Ship,6,,,,,Federation,[TNG],[Cmd][Stf][Stf][Stf],,Galaxy Class,,,8,8,9,"When you complete a space mission requiring Diplomacy, if this ship is at that mission, score 10 points."
U.S.S. Sutherland *,Y,Ship,6,,,,,Federation,[E],[Cmd][Stf][Stf],,Nebula Class,,,8,8,8,"When you fail a mission attempt at a space mission, if this ship is at that mission, you may discard three cards from hand to place the top card of an opponent's dilemma pile face up beneath this mission. If you do this, you cannot attempt this mission again this turn."
I.K.S. Bortas *,Y,Ship,6,,,,,Klingon,,[Cmd][Stf][Stf][Stf],Cloaking Device.,Vor'cha Class,,,8,9,8,"When you win an engagement involving this ship, you may discard a card from hand to download a Maneuver event."
Fortune Raider for Hire *,Y,Ship,6,,,,,Non-Aligned,,[Stf][Stf][Stf],,Virayllan Class,,,8,7,7,"While your Treachery personnel is aboard this ship, he or she is attributes +1 for each Artifact you command (limit +3)."
Rovaran *,Y,Ship,6,,,,,Romulan,,[Cmd][Stf][Stf][Stf],Cloaking Device.,D'deridex Class,,,7,9,9,"When you win an engagement involving this ship, you may examine the loser's hand and choose a card to be removed from the game. Order - Discard a Maneuver card from hand to begin an engagement involving this ship."
Caretaker's Array (Promo),Y,Mission,0,S,2,20,D,[Fed][NA],,,,,,"Biology, Diplomacy, Science, and Integrity>22",,,,"At the start of each of your turns, you may discard a card from hand to download {Finding Our Way}. When a card instructs you to place a ship at your headquarters mission, that ship may be placed at this mission instead."
Accelerated Aging,N,Dilemma,2,D,,,,,,,,,,,,,,"Place this dilemma on this mission. Each personnel at this mission cannot use their first-listed skill. At the end of this mission attempt, this dilemma is overcome."
Destined Journey,N,Dilemma,2,D,,,,,,,,,,,,,,"Choose a personnel who has Honor or Leadership to be stopped. If that personnel has both Honor and Leadership, you may unstop your stopped personnel present and that personnel joins the mission attempt. If you cannot choose a personnel with Honor or Leadership, all your personnel are stopped."
Final Triumph,N,Dilemma,3,D,,,,,,,,,,,,,,"Unless you choose to discard an event from your hand, your opponent chooses a personnel to be stopped."
Not Quite Domesticated Pets,N,Dilemma,3,D,,,,,,,,,,,,,,"Unless you have Diplomacy, 2 Leadership and Integrity>28 or Biology, 2 Exobiology and Cunning>34, randomly select a personnel to be stopped. If your opponent has more events in his or her core than you and he or she does not command that personnel, place that personnel at his or her headquarters mission instead and that opponent now commands that personnel."
Subterranean Barrier,N,Dilemma,3,P,,,,,,,,,,,,,,"Unless you have Biology, Exobiology, Geology and Integrity>25 or Diplomacy, Leadership, Officer and Cunning>32, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
"The Caretaker's ""Guests""",N,Dilemma,2,D,,,,,,,,,,,,,,Your opponent chooses a personnel. You may replace him or her with any one personnel of the same affiliation from your discard pile. Place the personnel your opponent chose on the top of his or her owner's deck.
Unbelievable Emergency,N,Dilemma,4,S,,,,,,,,,,,,,,"Your opponent names a skill. For each headquarters mission you command, randomly select two personnel to be stopped. If either of those personnel that is selected has the named skill, kill that personnel instead."
Blow You Out of the Stars,Y,Event,3,,,,,,,,Maneuver.,,,,,,,"Plays in your core. Order - Begin an engagement involving your [Kli] personnel. If you win, place this event on an opponent's ship involved. That opponent may place one of his or her unique personnel involved in your brig to prevent this and destroy this event. If you do not win, destroy this event. Damage - This ship is attributes -2."
Cellular Peptide Cake,N,Event,3,,,,,,,,Replicate - Discard an event from your hand.,,,,,,,"To play this event, you must command a Klingon. Each player returns a non-[Ref] event in an opponent's core to its owner's hand. Destroy this event."
Learning Curve,N,Event,4,,,,,,,,Decay: 4.,,,,,,,"Plays in your core. At the end of your turn, if you played two or more [Maq] personnel this turn, place the top two cards of your deck on this event. You may play cards from this event as though there were in your hand."
No-Win Situation,N,Event,5,,,,,,,,,,,,,,,"Plays in your core. When your dilemma is prevented or its requirements are met, randomly select an opponent's personnel that was facing that dilemma to be stopped."
The Genesis Effect,Y,Event,4,,,,,,,,,,,,,,,"Plays on your mission. When you play this event, name a dilemma. When your personnel face that dilemma at this mission, prevent and overcome it."
Khan!,N,Interrupt,0,,,,,,,,,,,,,,,"When an opponent scores 5 or more points, if he or she has not completed a mission, he or she loses 5 points."
Genesis Planet,Y,Mission,0,P,4,35,A,Any affiliation may attempt this mission.,,,,,,"Geology, Cunning>42 and (Biology, 2 Exobiology and 2 Science or 2 Security, Transporters and 2 Treachery)",,,,"Order - If this mission is completed, lose 5 points to make this a space mission. Kill all personnel (and destroy all equipment) on this mission."
Kira Nerys Outspoken Major,Y,Personnel,3,,,,,Bajoran,[Cmd][DS9],,,,Bajoran,Diplomacy Honor Leadership Security,6,6,6,"While this personnel is facing a dilemma, each [Baj] personnel present is attributes +1 and gains Honor."
Jasad,N,Personnel,3,,,,,Cardassian,[Cmd],,Gul.,,Cardassian,Intelligence Navigation Officer Treachery,4,6,6,"While this personnel is aboard your [Car] ship, that ship is attributes +1 for each of your different Capture cards and each of your different Punishment cards."
James T. Kirk Original Thinker,Y,Personnel,5,,,,,Federation,[Cmd][TOS][Pa],,Admiral. Commander: U.S.S. Enterprise.,,Human,Diplomacy 2 Honor Leadership Officer,7,6,6,"When a dilemma is about to be revealed, if this personnel is attempting a mission, you may remove him from the game to prevent and overcome that dilemma."
Spock Trainee Instructor,Y,Personnel,4,,,,,Federation,[Cmd][TOS][Pa][E],,Commander: U.S.S. Enterprise.,,Human/Vulcan,Biology Honor Leadership Officer Physics Science,7,8,7,"When a Damage card is about to be placed on your ship that this personnel is aboard, you may kill him to remove it from the game instead."
"Tom Paris ""Starfleet Observer""",Y,Personnel,2,,,,,Federation,[Stf][Maq],,,,Human,Biology Geology Navigation Science,4,6,5,"When this personnel is stopped by a dilemma, you may discard a card from hand to choose one: draw two cards; or take a [Maq] personnel from your discard pile into your hand."
Tuvok Undercover,Y,Personnel,3,,,,,Federation,[Cmd][Maq],,Infiltrator.,,Vulcan,Navigation Officer Science Security,6,7,7,"While this personnel is facing a dilemma and you have a [Maq] personnel present, this personnel is attributes +1 and gains Intelligence."
Saavik Protegee,Y,Personnel,3,,,,,Federation,[Stf][TOS][Pa][E],,,,Vulcan,Law Leadership Navigation Officer,5,7,6,"When you play this personnel, if James T. Kirk is at this mission, you may download {No-Win Situation}."
Kruge Instinctive Commander,Y,Personnel,2,,,,,Klingon,[Cmd][Pa],,Commander: I.K.S. Qel'Poh.,,Klingon,Astrometrics Intelligence Officer Treachery,3,6,7,"When you win an engagement involving this personnel, if fewer than three of an opponent's personnel are aboard their ship involved, you may remove a Damage event from that ship to place those personnel in your brig. You now command that ship (it becomes [Kli])."
Carol Marcus Intelligent Scientist,Y,Personnel,3,,,,,Non-Aligned,[Pa],,,,Human,2 Exobiology Honor Physics Science,6,5,4,This personnel is Cunning +1 for each card in an opponent's hand (limit +5).
David Marcus Young Scientist,Y,Personnel,1,,,,,Non-Aligned,[Pa],,,,Human,2 Biology Exobiology Physics Programming 2 Science,5,7,6,"When this personnel is stopped by a dilemma, you may destroy an event in your core (if you do not, lose 5 points instead)."
Khan Noonien Singh Genetically-Engineered Nemesis,Y,Personnel,4,,,,,Non-Aligned,[Cmd][Pa],,Commander: U.S.S. Reliant. Genetically Enhanced.,,Human,Exobiology Leadership Programming 2 Treachery,2,8,8,"While present with an opponent's personnel, each of that opponent's personnel is attributes -1."
Queen's Borg Sphere Contingency Vessel,Y,Ship,6,,,,,Borg,,[Stf][Stf][Stf][Stf],,Sphere,,,9,10,9,"While this ship is at a [Bor] mission, personnel aboard it are attributes +1. While your Borg Queen is aboard this ship, it is staffed."
U.S.S. Enterprise Earth's Savior,Y,Ship,5,,,,,Federation,[TOS][Pa],[Cmd][Stf],,Constitution Class,,,8,7,7,"While you command a [TOS] personnel, you may play this ship at your {Earth}. When this ship is about to move between Earth and another mission, subtract 1 from the Range required."
Earth Cradle of the Federation (SR),Y,Mission,0,H,2,,A,Federation Headquarters,,,Region: Sector 001.,,,"You may play [TNG] cards, [E] cards, [NA] cards, and equipment at this mission.",,,,
Mouth of the Wormhole Deep Space 9 (SR),Y,Mission,0,H,1,,A,Bajoran/Federation Headquarters,,,Region: Bajor System.,,,"You may play [DS9] cards, [NA] cards, and equipment at this mission.",,,,"When any player is about to move a ship between this mission and a [GQ] mission, do not add 2 to the span total of those missions."
Qo'noS Heart of the Empire (SR),Y,Mission,0,H,2,,A,Klingon Headquarters,,,Region: Qo'noS System.,,,"You may play [Kli] cards, [NA] cards, and equipment at this mission.",,,,
Romulus Seat of Power (SR),Y,Mission,0,H,2,,A,Romulan Headquarters,,,Region: Romulus System.,,,"You may play [Rom] cards, [NA] cards, and equipment at this mission.",,,,
Authenticate Artifacts (SR),N,Dilemma,2,P,,,,,,,,,,,,,,"Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Archaeology, your opponent chooses an Anthropology or Archaeology personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Command Decisions (SR),N,Dilemma,1,S,,,,,,,,,,,,,,"Choose a personnel who has Leadership or Officer to be stopped. If you cannot, randomly select a personnel to be killed."
