Name,Unique,Cost,Affiliation,Icons,Keywords,Species,Skills,Integrity,Cunning,Strength,Text
Montgomery Scott Experienced Engineer,Y,4,Federation,[Cmd][TOS][Pa],,Human,2 Engineer Physics 2 Transporters,6,5,5,"You may play this personnel at cost -2 to ignore his next ability. When you play this personnel, if you command another [TOS] personnel who has a cost of 4 or more, you may remove an event in an opponent's core from the game."
Noah Lessing Driven Officer,Y,3,Federation,[Stf][Voy],,Human,Biology Geology Programming Science Treachery,4,6,6,"While this personnel is facing a dilemma, you may lose 5 points to have him gain a skill required by that dilemma until the end of that dilemma. You may do this only once each turn."
Rudolph Ransom Devious Captain,Y,3,Federation,[Cmd][Voy],Commander: U.S.S. Equinox.,Human,Diplomacy Exobiology Leadership Officer Science Transporters Treachery,3,6,6,"While this personnel is attempting a mission, you may lose 5 points and choose two of your stopped [Voy] Treachery personnel present and stop this personnel to unstop those two personnel. Those personnel join this mission attempt."
Spock Experienced Officer,Y,4,Federation,[Cmd][TOS][Pa],,Human/Vulcan,Anthropology Archaeology Engineer Programming Science,6,8,7,You may play this personnel at cost -1 to ignore his next ability. You may play this personnel aboard your [TOS] ship that has a [TOS] personnel who has a cost of 4 or more aboard.
Thompson,N,3,Federation,[Stf][Voy],,Human,Anthropology Archaeology Astrometrics Medical Physics Science Treachery,4,6,5,"When you play this personnel, you may lose 5 points to make his cost -3."
Willard Decker Recommended Replacement,Y,4,Federation,[Cmd][TOS][Pa],Commander: U.S.S. Enterprise.,Human,Anthropology Diplomacy Leadership Officer Programming Science Security,6,6,6,"You may play this personnel at cost -1 to ignore his next ability. When you play this personnel, return your [TOS] personnel who has a cost of 4 or more to his or her owner's hand."
Grish,N,2,Ferengi,[Stf][Pa],Thief.,Ferengi,Exobiology Medical Transporters Treachery,4,5,5,"When your [Fer] personnel present is killed by a dilemma, this personnel and each [Pa][Fer] personnel present cannot be killed by dilemmas until the end of this turn."
Krem Unidentified Pirate,Y,3,Ferengi,[Stf][Pa],Commander: Quetsivoo. Thief.,Ferengi,Archaeology Astrometrics Geology Honor Navigation Science,6,5,5,"When this personnel uses a skill to complete a mission, if he is present with two [Pa][Fer] personnel, you may unstop all your stopped [Fer] personnel at this mission."
Muk Unidentified Pirate,Y,3,Ferengi,[Stf][Pa],Thief.,Ferengi,Acquisition Archaeology 2 Physics Security Treachery,4,5,5,"When you play this personnel, if you command three [Pa][Fer] personnel, you may download up to three equipment."
Quark Vastly Outnumbered,Y,2,Ferengi,[DS9],,Ferengi,Acquisition Anthropology Treachery,4,6,4,"When you play this personnel, you may download an Assault, Maneuver, or a [DS9] card and place that card beneath your {Ferenginar}. When you play this personnel, if an opponent commands a Maneuver event, he is cost -2."
Ulis Unidentified Pirate,Y,4,Ferengi,[Cmd][Pa],Commander: Quetsivoo. Thief.,Ferengi,Acquisition Biology Engineer Programming Treachery,4,5,5,"When this personnel is facing a dilemma, you may stop him to take a [Pa][Fer] personnel from your discard pile and place him or her present with this personnel. That personnel joins the mission attempt."
Elder T'Pol Displaced Survivor,Y,3,Starfleet,[Stf][Pa],,Vulcan,Anthropology Honor 2 Science,7,7,3,"When this personnel uses a skill to complete a mission, you may shuffle each non-Human [SF] personnel that you own that has been removed from the game into his or her owner's deck."
Greer,N,3,Starfleet,[Stf][Pa],,Alien/Human,Anthropology Astrometrics Biology Honor Navigation Officer,6,5,5,"When this personnel is about to be removed from the game, if he is present with three non-Human [SF] personnel, you may download an interrupt."
Karyn Archer Displaced Descendant,Y,3,Starfleet,[Cmd][Pa],,Alien/Human/Ikaaran,Archaeology Honor Leadership Programming Science Security,6,6,5,"When this personnel is removed from the game, each of your [SF] personnel are attributes +2 until the end of the turn."
Lorian Displaced Descendant,Y,4,Starfleet,[Cmd][Pa],Commander: Future Enterprise.,Human/Vulcan,Engineer Leadership Officer Science Security Transporters,4,7,6,"When this personnel is about to be removed from the game, you may unstop each stopped [SF] personnel present. (Those personnel may join the mission attempt.)"
Ilia Finest Navigator in Starfleet *VP,Y,4,Federation,[Stf][TOS][Pa],,Deltan,Honor Navigation Officer Telepathy,7,5,5,"You may play this personnel at cost -2 to ignore her next ability. When you play this personnel, if you command a [TOS] personnel who has a cost of 4 or more, for each headquarters mission your opponent commands, you may shuffle two cards from your discard pile into your deck."
Jean-Luc Picard Genial Captain,Y,3,Federation,[Cmd][TNG],Commander: U.S.S. Enterprise-D.,Human,Archaeology Diplomacy Honor Leadership Officer,8,6,6,"When you play this personnel, you may download {U.S.S. Enterprise-D}."
Kira Nerys Colonel Kira *VP,Y,3,Bajoran,[Cmd][DS9],,Bajoran,Diplomacy Honor Leadership Officer Programming Security,6,6,6,"While this personnel is present with your [Fed] personnel, each of your other [Baj] personnel present is attributes +1."
B'Elanna Torres Straightforward Engineer *VP,Y,3,Federation,[Cmd][Voy],,Human/Klingon,2 Engineer Physics Programming Science Treachery,5,6,7,"Order - If this personnel is aboard your ship, discard a card from hand to remove a Damage card from that ship. You may do this only once each turn."
Pavel A. Chekov Young Navigator *VP,Y,1,Federation,[Stf][TOS][Pa],,Human,Astrometrics Navigation Officer,6,5,6,You may play this personnel at cost +1 to return a [TOS] personnel you command to his or her owner's hand.
Quark Little Green Man *VP,Y,2,Ferengi,[Cmd][DS9],Commander: Quark's Treasure.,Ferengi,Acquisition Anthropology Physics,4,6,4,"While this personnel is present with a [Pa] personnel, he is attributes +1 and gains Acquisition, Diplomacy, and Treachery."
Vash Treasure Hunter *VP,Y,2,Non-Aligned,,Thief.,Human,Anthropology 2 Archaeology Science Treachery,3,6,4,"When you play this personnel, you may place a card from your discard pile on the bottom of your deck, then draw a card (or, if {Jean-Luc Picard} is at this mission, draw two cards instead)."
Phlox Alien Physiologist *VP,Y,3,Starfleet,[Stf][Pa],,Denobulan,Biology Exobiology Medical Physics Science,6,6,5,"When your personnel present is about to be killed, you may stop this personnel to prevent that and place that personnel on your headquarters where he or she could be played."
Sumek,N,2,Non-Aligned,,,Hologram,Geology Honor Medical,6,6,6,"While you command three [Fed] personnel, this personnel gains Biology and Officer, and becomes [Fed]."
K'wov,N,2,Non-Aligned,,,Hologram,Exobiology Navigation Security,4,4,6,"While you command three [Kli] personnel, this personnel is attributes +1, gains Leadership, and becomes [Kli]."
Garren,N,2,Non-Aligned,,,Hologram,Astrometrics Navigation Programming Science,5,5,5,"While you command three [Rom] personnel, this personnel is attributes +1, gains Engineer, and becomes [Rom]."
Doran,N,2,Non-Aligned,,,Hologram,Anthropology Engineer Physics Treachery,3,5,5,"While you command three [Car] personnel, this personnel is attributes +1, gains Archaeology, and becomes [Car]."
Automated Server,N,2,Non-Aligned,,Waiter.,Hologram,Anthropology Diplomacy Exobiology Transporters,5,5,4,"While you command three [Fer] personnel, this personnel is attributes +1, gains Acquisition, and becomes [Fer]."
Tolian Soran Renegade Scientist *VP,Y,0,Non-Aligned,[Stf],,El-Aurian,Astrometrics Engineer 2 Physics Programming Transporters 2 Treachery,1,7,6,"When this personnel uses a skill, randomly stop one of your personnel present."
Leeta Rebel Supporter *VP,Y,0,Bajoran,[TN],Dabo Girl. Dissident.,Bajoran,Anthropology Honor,6,5,4,"When you play this personnel, discard a card from hand. While you have more than ten cards in your discard pile, each of your Dissident personnel present is attributes +1."
Jake Sisko Reporter Behind the Lines *VP,Y,1,Federation,[TN],Dissident.,Human,Anthropology Biology Honor Programming,6,5,5,"When you play this personnel, discard a card from hand. When you play another Dissident personnel, you may make each player discard the top card of his or her deck."
Mona Luvsitt Valet *VAP,Y,2,Non-Aligned,[Stf],,Hologram,Biology Honor Physics Science,7,6,5,
Mona Luvsitt Valet,Y,2,Non-Aligned,[Stf],,Hologram,Biology Honor Physics Science,7,6,5,
Dukat Cardassian Representative,Y,4,Cardassian,[Cmd][TN],Gul.,Cardassian,Law Leadership Officer Security Treachery,4,6,6,"When you play this personnel, you may choose one: download {Ruling Council} or download a [Dom] card. Order - Discard three non-personnel cards (or two [TN] cards) from hand to destroy an event."
Morgan Bateson Confident Commander,Y,2,Federation,[Cmd][TNG][Pa],Commander: U.S.S. Bozeman.,Human,Astrometrics Diplomacy Leadership Science,6,4,5,"While no player commands a Temporal event, this personnel is attributes +1."
Kira Nerys Liberator,Y,5,Bajoran,[Cmd][DS9],Bajoran Resistance.,Bajoran,Anthropology Honor Physics Security,6,6,6,"When a [Baj] personnel present is killed by a dilemma, you may take a different Bajoran Resistance personnel from your discard pile and place him or her present with this personnel. That personnel joins this mission attempt."
"Berlinghoff Rasmussen Temporal ""Historian""",Y,2,Non-Aligned,[Pa],Thief.,Human,Anthropology Archaeology Treachery,4,6,4,"Order - Stop this personnel to take command of an equipment present that you do not own. Order - If this personnel is on an opponent's planet mission, stop him to give command of an equipment present you command but do not own to that opponent to score 5 points."
Travis Mayweather Damaged Navigator,Y,2,Starfleet,[Stf][Pa],,Human,Anthropology Astrometrics Navigation,4,6,5,"While this personnel is at a Region: Delphic Expanse mission, if there is a [SF] ship at this mission with unused Range>5, this personnel is attributes +1 and gains Geology, Honor, and Security."
Elim Garak Federation Agent,Y,2,Federation,[Stf][DS9],,Cardassian,Anthropology Diplomacy Programming,6,6,6,Your Intelligence personnel present are each attributes +1.
Elim Garak Federation Agent *VAP,Y,2,Federation,[Stf][DS9],,Cardassian,Anthropology Diplomacy Programming,6,6,6,Your Intelligence personnel present are each attributes +1.
Phlox Damaged Doctor,Y,2,Starfleet,[Stf][Pa],,Denobulan,Anthropology Biology Exobiology Medical,5,6,5,"When a personnel present is about to be killed by a dilemma, if this personnel is at a Region: Delphic Expanse mission, you may return that personnel to his or her owner's hand."
Ibboko Kreetassan Chancellor,Y,4,Non-Aligned,[Cmd][Pa],,Kreetassan,Biology Law 2 Leadership,7,6,5,"When you play this personnel, you may download a Ritual event or a Kreetassan personnel. When a Ritual event you own is destroyed, you may discard a card from hand to place that Ritual event in your core."
Benjamin Sisko Man of Two Worlds,Y,4,Bajoran,[Cmd],,Human,Anthropology Archaeology Honor Leadership,8,6,6,"When you play this personnel, you may download a Prophet card and/or take each personnel you own that has been removed from the game and place them in your discard pile."
Odo Bajoran Representative,Y,2,Bajoran,[Cmd][TN],Shape-shifter.,Changeling,Law Leadership Security,6,7,8,"To play this personnel, you must command three non-Dissident [TN] personnel. You may play this personnel at your [HQ] {Mouth of the Wormhole} at cost +5 to do any or all of the following: score 5 points, download an equipment, download {Ruling Council}, download a [TN] card."
Amat'igan Founder Bodyguard,Y,5,Dominion,[Stf],,Jem'Hadar,Astrometrics Navigation Security,5,5,8,"When your [Dom] personnel present is killed by a dilemma, you may take a Jem'Hadar from hand and place him present with this personnel. That personnel joins the mission attempt."
Weyoun Dominion Representative,Y,4,Dominion,[Cmd][TN],,Vorta,Diplomacy Law Leadership Treachery,3,6,4,"When you play this personnel, you may choose one: download {Ruling Council} or download a [Car] card. Order - Place this personnel on the bottom of his owner's deck to name a personnel. Each opponent takes a personnel that he or she commands with that card title and places each on the bottom of his or her owner's deck."
Giotto Security Chief,Y,2,Federation,[Cmd][TOS][Pa],,Human,Leadership Officer 2 Security Transporters,5,5,6,You may play this personnel at cost +2 to prevent and overcome the first dilemma he faces this turn that has a cost of 1 or more and does not require a skill.
Farek Distrusting Doctor,Y,2,Ferengi,[Stf],,Ferengi,Acquisition 2 Medical 2 Treachery,2,6,4,"When this personnel or a Ferengi personnel present is about to be killed by a dilemma, you may remove a non-Ferengi personnel beneath your {Ferenginar} from the game to prevent that."
Amaros Freedom Fighter,Y,2,Non-Aligned,[Cmd][Maq],,Human,Astrometrics Engineer Navigation Treachery,4,5,6,"When you play this personnel, you may discard any number of [Maq] cards from hand to download an equal number of cards. Those cards must have different titles and be events, interrupts or [Maq] ships."
Laavros Kreetassan Civil Servant,Y,2,Non-Aligned,[Stf][Pa],,Kreetassan,Archaeology Diplomacy,7,5,5,"When a personnel present who has a cost of 4 or more is killed by a dilemma, you may stop this personnel to download a personnel of the same affiliation as that killed personnel and place him or her with this personnel. That personnel joins the mission attempt."
Punull,N,4,Non-Aligned,[Stf][Pa],,Kreetassan,Geology Law Medical Science,6,5,5,When you play this personnel you may download up to four cards that have different titles. Then choose an opponent. He or she chooses two of those cards to be removed from the game.
Karina Hindering Analyst,Y,4,Romulan,[Cmd],,Romulan,Anthropology Intelligence Physics Science Treachery,3,6,5,"When your [Rom] personnel present is about to be stopped by a dilemma, if you have more cards in hand than each opponent, discard an event from hand to prevent that."
Ruwon Hindering Analyst,Y,4,Romulan,[Cmd],,Romulan,Diplomacy Intelligence Leadership Security Treachery,3,5,6,"When your [Rom] personnel present is about to be killed by a dilemma, if you have more cards in hand than each opponent, discard an event from hand to prevent that."
Charles Tucker III Damaged Engineer,Y,2,Starfleet,[Cmd][Pa],,Human,2 Engineer Physics Transporters,5,6,6,"Order - If this personnel is aboard your ship at a Region: Delphic Expanse mission, discard a card from hand to remove a Damage card from that ship. You may only do this once each turn."
Jonathan Archer Damaged Captain,Y,4,Starfleet,[Cmd][Pa],Commander: Enterprise.,Human,Astrometrics Diplomacy Engineer Leadership Officer Physics Security,5,6,6,"While this personnel in facing a dilemma that does not require a skill at a Region: Delphic Expanse mission, you may exclude him and each of your [SF] personnel present from random selections."
Malcolm Reed Damaged Security Officer,Y,2,Starfleet,[Stf][Pa],,Human,Officer Physics Security,5,5,6,"When an engagement involving this personnel at a Region: Delphic Expanse mission begins, you may discard a random card from hand to prevent that engagement and stop each personnel and ship involved."
T'Pol Damaged Science Officer,Y,4,Starfleet,[Cmd][Pa],,Vulcan,Archaeology Engineer Geology Law Physics Programming Science Transporters,5,7,6,"While this personnel is at a Region: Delphic Expanse mission, ignore her next ability. When this personnel is about to face the third dilemma of a mission attempt, stop her."
"Enabran Tain ""Retired"" Spymaster *VP",Y,3,Cardassian,[Cmd],,Cardassian,Anthropology 2 Intelligence Security 2 Treachery,2,7,3,"When you play this personnel, if each of your non-headquarters missions requires Intelligence, you may draw up to seven cards, then discard two cards from hand."
Gelnon Aloof Tactician *VP,Y,3,Dominion,[Cmd],,Vorta,Archaeology Law Leadership Science Treachery,4,6,4,"When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, you may download a Jem'Hadar and place it aboard your [Dom] ship."
Jean-Luc Picard Vintner *VP,Y,2,Federation,[Stf][TNG][Fut],,Human,Archaeology Biology Diplomacy Science,6,5,3,"When you play this personnel, if each of your non-headquarters missions requires Biology, you may download up to three [TNG] personnel."
Alexander Rozhenko K'mtar *VP,Y,4,Klingon,[Cmd][Fut],High Council Member.,Human/Klingon,2 Diplomacy Honor Programming Transporters,8,5,8,"When you play this personnel, if each of your non-headquarters missions requires Diplomacy, you may download up to two events, then play each of them at cost -3."
Garth of Izar Criminally Insane,Y,1,Federation,[Cmd][TOS][Pa],Shape-shifter.,Human,Exobiology Leadership 2 Treachery,2,5,6,"You may play this personnel at cost +5 to reveal the top card of an opponent's deck. If it is a personnel that opponent does not command, it is placed in your brig (that opponent now commands him or her) and this personnel gains each of that personnel's skills until the end of this turn."
Richard Galen Legendary Archaeologist,Y,4,Federation,[Stf][E],,Human,2 Archaeology Exobiology Geology Navigation Science,5,7,4,"When you play this personnel, you may download an Artifact. While this personnel is facing a dilemma, you may lose 5 points to have a personnel present gain all skills that this mission has in its requirements until the end of this mission attempt."
DaiMon Solok Cargo Runner,Y,4,Ferengi,[Cmd],Smuggler.,Ferengi,Acquisition Anthropology Engineer Navigation Officer Transporters,5,5,4,"To play this personnel, place the top card of your dilemma pile underneath a non-headquarters mission of the opponent to your right's choice. When you play this personnel, if you command three [Fer] personnel, score 5 points."
Deanna Troi Durango,Y,2,Non-Aligned,[Stf],,Betazoid/Human,Anthropology Honor Security Telepathy,6,5,4,"When an opponent plays a Security personnel or places a Security personnel from hand on a headquarters mission, you may discard two cards from hand to stop that personnel."
Kaitaama Precious Cargo,Y,4,Non-Aligned,[Pa],,Kriosian,Anthropology Diplomacy Law Leadership,6,5,4,"When this personnel is about to be placed in a brig, return her to her owner's hand. When this personnel is killed by a dilemma, score 5 points. When this personnel is stopped by a dilemma, draw a card."
Kaitaama Precious Cargo *VP,Y,4,Non-Aligned,[Pa],,Kriosian,Anthropology Diplomacy Law Leadership,6,5,4,"When this personnel is about to be placed in a brig, return her to her owner's hand. When this personnel is killed by a dilemma, score 5 points. When this personnel is stopped by a dilemma, draw a card."
Furel Resistance Scout,Y,2,Bajoran,[Stf][Pa],Bajoran Resistance.,Bajoran,Astrometrics Biology Engineer Geology,5,6,6,Order - Lose 5 points to unstop up to two stopped Bajoran Resistance personnel present. You may do this only once each turn.
Gantt,N,2,Bajoran,[Stf][Pa],Bajoran Resistance.,Bajoran,Anthropology Exobiology Medical Science,6,5,6,
Halb Daier Resistance Contact,Y,2,Bajoran,[Stf][Pa],Bajoran Resistance.,Bajoran,Physics Security Transporters,4,5,6,"When you play this personnel, you may download {No Love For the Spoon Heads}."
Kira Nerys Ih'valla,Y,1,Bajoran,[Cmd],,Bajoran,Honor Leadership,6,6,6,"When you begin a mission attempt involving this personnel, you may lose 5 points to take up to two [Baj] cards from your discard pile into hand."
Opaka Collaborator,Y,5,Bajoran,[Pa],Kai.,Bajoran,Anthropology Diplomacy Honor 2 Leadership,7,6,3,"When you play this personnel, if you command {Bajor} and no other headquarters mission, you may score 5 points. Order - Lose 5 points to take a Bajoran Resistance personnel from your discard pile and place him or her on your Bajor. You may do this only once each turn."
Orta Resistance Leader,Y,3,Bajoran,[Cmd],Bajoran Resistance.,Bajoran,Geology Leadership Security Treachery,4,6,7,"While this personnel is facing a dilemma, you may lose 5 points to make each Bajoran Resistance personnel present attributes +1 until the end of this turn. You may do this only once each turn."
Quen Paltra,N,2,Bajoran,[Stf],Bajoran Resistance.,Bajoran,Archaeology Honor Navigation Programming,5,5,6,
Surmak Ren Resistance Doctor,Y,2,Bajoran,[Stf],Bajoran Resistance.,Bajoran,Biology Exobiology Medical Programming Science,5,6,5,"While this personnel is facing a dilemma, if he is present with two Bajoran Resistance personnel, you may lose 5 points to download an interrupt. You may do this only once each turn."
"Broca ""Leader"" of the Cardassian Union",Y,2,Cardassian,[Cmd],Legate.,Cardassian,Archaeology Officer Physics Treachery,4,5,5,"When you play this personnel, if you command three [Car] personnel, you may discard the top six cards of your deck to score 5 points."
Eris Harbinger of the Dominion,Y,4,Dominion,[Cmd],,Vorta,Diplomacy Medical Transporters Treachery,4,6,4,"When you play this personnel, if you command a Founder and a Vorta, you may score 5 points. When you begin combat involving this personnel, randomly select an opponent's personnel present to be excluded from that combat."
Charles Whatley Professional Admiral,Y,2,Federation,[Cmd][DS9],Admiral.,Human,Engineer Law Leadership Officer Security,5,6,6,"When you play this personnel, you may lose 5 points to download up to two [E] personnel, then place them on your [HQ] {Mouth of the Wormhole}."
Jaresh-Inyo Federation President,Y,3,Federation,[Cmd][E],,Grazerite,Diplomacy 2 Honor Law 2 Leadership,7,6,4,"When you play this personnel, you may lose 5 points to download up to three [DS9] personnel, then place them on your [HQ] {Earth} where each personnel could be played."
Luther Sloan Man of Action,Y,3,Federation,[Cmd][DS9],,Human,Anthropology Intelligence Programming 2 Security 2 Treachery,2,6,5,Order - Remove your event from the game and return this personnel to his owner's hand to destroy an opponent's event.
Croden Dissembler,Y,4,Non-Aligned,[Stf],Thief.,Rakhari,Astrometrics Geology Navigation Science Treachery,3,5,5,"When you play this personnel, choose an opponent to choose one: the next card you play this turn is cost -4 or you score 5 points."
Emck Export Controller,Y,3,Non-Aligned,[Cmd],Commander: Eleventh Gradient.,Malon,Acquisition Biology Leadership Medical Navigation Physics Treachery,4,5,5,"When you are about to play this personnel, you may lose 5 points to do any or all of the following: play him at cost -3, play him aboard your [NA] ship, download a [NA] personnel."
Donatra Honorable Commander,Y,5,Romulan,[Cmd],Commander: Valdore.,Romulan,Diplomacy Honor Leadership Navigation Officer Physics,5,6,5,"While this personnel is facing a dilemma that has a cost of 1 or more and does not require a skill, you may remove this personnel from the game to prevent and overcome that dilemma."
Kasidy Yates Freighter Captain,Y,3,Bajoran,[Cmd][DS9],Commander: Xhosa.,Human,Acquisition Engineer Leadership Navigation Transporters,5,5,4,"While this personnel is attempting a mission, if your staffed ship is at this mission, she is attributes +2 and gains Honor and Navigation."
Dukat Ambitious Commander,Y,3,Cardassian,[Cmd],Commander: Groumall. Gul.,Cardassian,Acquisition Leadership Navigation Officer Programming Treachery,4,6,6,"While this personnel is facing a dilemma, you may discard a ship from hand to make him gain a skill from your personnel present until the end of that mission attempt."
Gelnon Accurate Estimator,Y,3,Dominion,[Cmd],Commander: Ammut'alar.,Vorta,Diplomacy Law Leadership Science Treachery,4,6,4,"When you play a unique [Dom] personnel, if you have played no other personnel this turn, each player may discard a card from hand to download an Infiltrator or an Infiltration card."
Duras Devious Challenger,Y,3,Klingon,[Cmd],Commander: I.K.S. Vorn. High Council Member.,Klingon,2 Leadership Programming 2 Treachery,2,6,7,"While this personnel is facing a dilemma, if your staffed ship is at this mission, you may meet Diplomacy and Honor requirements of that dilemma using Treachery instead."
Neelix Valued Guide,Y,3,Non-Aligned,[Stf][Voy],,Talaxian,Acquisition Anthropology Diplomacy Exobiology Honor Navigation,6,5,5,This personnel is attributes +1 for each of your completed space missions.
Kira Nerys Ambitious Ally,Y,3,Bajoran,[Cmd][DS9],,Bajoran,Diplomacy Honor Law Programming Security Transporters,6,6,6,"You may play this personnel aboard your [Car] ship. When you play this personnel, you may download a ship."
Damar Ambitious Glinn,Y,2,Cardassian,[Stf],Glinn.,Cardassian,Astrometrics Engineer Officer Physics Security,4,5,6,Order - Discard a [Car] ship from hand to draw three cards. You may do this only once each turn.
Tora Ziyal Ambitious Daughter,Y,1,Cardassian,,,Bajoran/Cardassian,Anthropology Biology Honor,6,4,4,"When this personnel is about to be stopped by a dilemma, you may discard a ship from hand to prevent that."
Tugat,N,2,Cardassian,[Stf],,Cardassian,Geology Medical Officer Transporters,5,5,5,"While this personnel is attempting a mission, if you discard a ship from hand, you may reveal him to make him attributes +1 until the end of the turn (limit +4)."
Benjamin Maxwell Misguided Maverick,Y,3,Federation,[Cmd][TNG],Commander: U.S.S. Phoenix.,Human,Archaeology Diplomacy Leadership Navigation Treachery,4,6,6,"While your staffed [Fed] ship is at this mission, you may exclude this personnel from random selections."
John Harriman Captain of the Enterprise,Y,2,Federation,[Cmd][TOS][Pa][E],Commander: U.S.S. Enterprise-B.,Human,Diplomacy Geology Leadership Officer,6,6,6,"When this personnel is facing a dilemma, if your staffed ship is at this mission, you may discard a random card from hand to make this personnel gain a skill from a [TOS] personnel aboard that ship until the end of that mission attempt."
Ro Laren Apologetic Defector,Y,3,Federation,[Cmd][Maq],Commander: Cosette.,Bajoran,Anthropology Leadership Navigation Security Treachery,4,6,6,"When you complete a Region: Demilitarized Zone mission involving this personnel, each player may take up to two events with different card titles from his or her discard pile into his or her hand."
Ronald Tracey Delusional Captain,Y,2,Federation,[Cmd][TOS][Pa],Commander: U.S.S. Exeter.,Human,Acquisition Anthropology Archaeology Leadership 2 Treachery,2,6,6,You may play this personnel at cost +1 to download a non-Artifact equipment.
Tom Paris Competitive Pilot,Y,4,Federation,[Cmd][Voy],Commander: Delta Flyer.,Human,Astrometrics Biology Engineer Medical 2 Navigation Officer,5,6,6,"When you play this personnel, if you command four space missions, he is cost -3."
Bractor Suspicious Leader,Y,3,Ferengi,[Cmd],Commander: Kreechta.,Ferengi,Acquisition Astrometrics Leadership Officer Science,5,6,5,"While this personnel is aboard a [Fer] ship, if you command three Rule events, that ship is attributes +2."
Sybok Fanatical Missionary,Y,4,Non-Aligned,[Cmd][Pa],Commander: U.S.S. Enterprise-A.,Vulcan,Anthropology Astrometrics Diplomacy Engineer Leadership Treachery,3,8,8,"When a dilemma that this personnel is facing is about to be returned to its owner's dilemma pile, you may remove that dilemma from the game. You may do this only once each turn."
Sela Supervising Operative,Y,3,Romulan,[Cmd],Commander: Goraxus.,Human/Romulan,Intelligence Leadership Officer Programming 2 Treachery,2,6,5,"When you play this personnel, you may download up to two cards. Those cards must be {Capture cards}, {Punishment cards}, or {The Perfect Tool}."
Jonathan Archer Defiant Commander,Y,3,Starfleet,[Cmd][Pa][AU],Commander: Starship Defiant.,Human,2 Leadership Officer Security 2 Treachery,2,6,6,"While you have no cards in hand, each [AU][SF] personnel present is Cunning +1 (and Integrity +1 if they are aboard an [AU][SF] ship)."
Ezri Tigan Soldier of Fortune *VP,Y,0,Non-Aligned,[Cmd][AU],Thief.,Trill,Anthropology Geology Medical Navigation Security Transporters,4,6,4,"When this personnel is stopped by a dilemma, choose an opponent and place this personnel at his or her headquarters mission. That opponent now commands this personnel."
The Pendari Champion Electrifying Favorite,Y,2,Non-Aligned,[Cmd],,Pendari,Geology Security,5,5,9,Order - Examine the bottom card of any player's deck.
The Pendari Champion Electrifying Favorite *VAP,Y,2,Non-Aligned,[Cmd],,Pendari,Geology Security,5,5,9,Order - Examine the bottom card of any player's deck.
Paenol Resistance Soldier,Y,3,Bajoran,[Stf][Pa],Bajoran Resistance.,Bajoran,Astrometrics Engineer Geology Science Security,6,6,6,"When an opponent plays an interrupt, if you command {Bajor} and no other headquarters missions, you may lose 5 points to prevent that interrupt and place it in its owner's discard pile."
B'Elanna Torres Mostly Assimilated,Y,3,Borg,[Stf],Dissident.,Borg,Engineer Physics Programming Transporters,5,6,7,"While you command a [Bor] non-Dissident personnel, this personnel loses all of her skills and her next ability. When an event in your core is about to be destroyed by a card an opponent owns, you may stop this personnel to prevent that."
Eight of Eleven Laura,Y,3,Borg,[AU],Dissident.,Borg,Biology Exobiology Medical,6,6,4,"While you command a [Bor] non-Dissident personnel, this personnel loses all of her skills and her next ability. When your Dissident present is about to be killed by a dilemma at a [DQ] mission, you may discard a card from hand and stop that personnel to prevent that."
Five of Twelve Axum,Y,3,Borg,[Cmd][AU],Dissident.,Borg,Anthropology Biology Engineer Leadership Navigation Programming,5,6,6,"While you command a [Bor] non-Dissident personnel, this personnel loses all of his skills and his next ability. When you play this personnel, you may download a Dissident."
Kathryn Janeway Mostly Assimilated,Y,2,Borg,[Cmd],Dissident.,Borg,Diplomacy Engineer Leadership Science,6,6,5,"While you command a [Bor] non-Dissident personnel, this personnel loses all of her skills and her next ability. When this personnel begins a mission attempt at a [DQ] mission, you may discard a card from hand to make her gain a skill of your choice until the end of the mission attempt."
Seven of Nine Annika,Y,3,Borg,[Stf][AU],Dissident.,Borg,Astrometrics Engineer Exobiology Science,6,7,6,"While you command a [Bor] non-Dissident personnel, this personnel loses all of her skills and her next ability. While this personnel is attempting a [DQ] mission, she and each Dissident personnel present are attributes +1."
Six of Ten Korok,Y,4,Borg,[Cmd][AU],Commander: Sphere 117. Dissident. General.,Borg,Astrometrics Honor 2 Leadership Navigation Officer Security,7,5,6,"While you command a [Bor] non-Dissident personnel, this personnel loses all of his skills and his next ability. While this personnel is facing a dilemma that does not require a skill at a [DQ] mission, he cannot be killed."
Tuvok Mostly Assimilated,Y,3,Borg,[Stf],Dissident.,Borg,Anthropology Exobiology Security,6,7,7,"While you command a [Bor] non-Dissident personnel, this personnel loses all of his skills and his next ability. While this personnel is facing a dilemma at a [DQ] mission, he gains Law, Leadership, Officer and Security."
Hanok Trade Minister,Y,4,Dominion,[Cmd],,Karemma,Acquisition Engineer Honor Leadership Physics Security,6,6,6,"When this personnel is facing a dilemma, you may give command of your Commodity event to an opponent to make up to two of your personnel present lose all their skills (except Acquisition) until the end of that dilemma."
Inglatu Tulaberry Merchant,Y,2,Dominion,[Stf],,Dosi,Acquisition Anthropology Biology Diplomacy,5,5,7,"When this personnel is facing a dilemma, you may give command of your Commodity event to an opponent to make him gain a skill required by that dilemma until the end of that mission attempt."
